Company;;ISIN;SIC Industry Name;SIC Industry Code;Update Date;ESG Score;;;;;;;;;;;;
Analog Devices, Inc.;ADI.O;NULL;NULL;NULL;31/12/2021;74,51611257;;;;;;;;;;;;
Analog Devices, Inc.;ADI.O;NULL;NULL;NULL;31/12/2020;72,98803354;;;;;;;;;;;;
Analog Devices, Inc.;ADI.O;NULL;NULL;NULL;31/12/2019;72,14284611;;;;;;;;;;;;
Analog Devices, Inc.;ADI.O;NULL;NULL;NULL;31/12/2018;76,74531946;;;;;;;;;;;;
ANSYS, Inc.;ANSS.O;US03662Q1058;Prepackaged Software;7372;31/12/2023;56,83401983;;;;;;;;;;;;
ANSYS, Inc.;ANSS.O;NULL;NULL;NULL;31/12/2022;58,82278613;;;;;;;;;;;;
ANSYS, Inc.;ANSS.O;NULL;NULL;NULL;31/12/2021;58,93297808;;;;;;;;;;;;
ANSYS, Inc.;ANSS.O;NULL;NULL;NULL;31/12/2020;60,78996505;;;;;;;;;;;;
ANSYS, Inc.;ANSS.O;NULL;NULL;NULL;31/12/2019;58,0481451;;;;;;;;;;;;
ANSYS, Inc.;ANSS.O;NULL;NULL;NULL;31/12/2018;45,57091517;;;;;;;;;;;;
APA Corporation (formerly Apache);APA.O;US03743Q1085;Crude Petroleum and Natural Gas;1311;31/12/2023;61,23835863;;;;;;;;;;;;
APA Corporation (formerly Apache);APA.O;NULL;NULL;NULL;31/12/2022;60,02783454;;;;;;;;;;;;
APA Corporation (formerly Apache);APA.O;NULL;NULL;NULL;31/12/2021;63,79477077;;;;;;;;;;;;
APA Corporation (formerly Apache);APA.O;NULL;NULL;NULL;31/12/2020;62,28207613;;;;;;;;;;;;
APA Corporation (formerly Apache);APA.O;NULL;NULL;NULL;31/12/2019;58,29525379;;;;;;;;;;;;
APA Corporation (formerly Apache);APA.O;NULL;NULL;NULL;31/12/2018;58,71066867;;;;;;;;;;;;
Apple Inc.;AAPL.OQ;US0378331005;Electronic Computers;3571;31/12/2023;75,51922498;;;;;;;;;;;;
Apple Inc.;AAPL.OQ;NULL;NULL;NULL;31/12/2022;77,75316094;;;;;;;;;;;;
Apple Inc.;AAPL.OQ;NULL;NULL;NULL;31/12/2021;81,85610357;;;;;;;;;;;;
Apple Inc.;AAPL.OQ;NULL;NULL;NULL;31/12/2020;76,61207714;;;;;;;;;;;;
Apple Inc.;AAPL.OQ;NULL;NULL;NULL;31/12/2019;68,56904639;;;;;;;;;;;;
Apple Inc.;AAPL.OQ;NULL;NULL;NULL;31/12/2018;70,98639874;;;;;;;;;;;;
Applied Materials, Inc.;AMAT.O;US0382221051;NULL;3559;31/12/2023;80,45861789;;;;;;;;;;;;
Applied Materials, Inc.;AMAT.O;NULL;NULL;NULL;31/12/2022;86,20851354;;;;;;;;;;;;
Applied Materials, Inc.;AMAT.O;NULL;NULL;NULL;31/12/2021;82,6577019;;;;;;;;;;;;
Applied Materials, Inc.;AMAT.O;NULL;NULL;NULL;31/12/2020;78,90053483;;;;;;;;;;;;
Applied Materials, Inc.;AMAT.O;NULL;NULL;NULL;31/12/2019;79,083649;;;;;;;;;;;;
Applied Materials, Inc.;AMAT.O;NULL;NULL;NULL;31/12/2018;80,59813986;;;;;;;;;;;;
Aptiv plc;APTV.K;JE00BTDN8H13;Motor Vehicle Parts and Accessories;3714;31/12/2023;57,45772212;;;;;;;;;;;;
Aptiv plc;APTV.K;NULL;NULL;NULL;31/12/2022;62,68729984;;;;;;;;;;;;
Aptiv plc;APTV.K;NULL;NULL;NULL;31/12/2021;63,86673084;;;;;;;;;;;;
Aptiv plc;APTV.K;NULL;NULL;NULL;31/12/2020;59,18321298;;;;;;;;;;;;
Aptiv plc;APTV.K;NULL;NULL;NULL;31/12/2019;62,19531658;;;;;;;;;;;;
Aptiv plc;APTV.K;NULL;NULL;NULL;31/12/2018;52,85797949;;;;;;;;;;;;
Archer-Daniels-Midland Company;ADM;US0394831020;NULL;6331;31/12/2023;77,34184968;;;;;;;;;;;;
Archer-Daniels-Midland Company;ADM;NULL;NULL;NULL;31/12/2022;76,23251943;;;;;;;;;;;;
Archer-Daniels-Midland Company;ADM;NULL;NULL;NULL;31/12/2021;82,9327999;;;;;;;;;;;;
Archer-Daniels-Midland Company;ADM;NULL;NULL;NULL;31/12/2020;82,89258496;;;;;;;;;;;;
Archer-Daniels-Midland Company;ADM;NULL;NULL;NULL;31/12/2019;80,81066726;;;;;;;;;;;;
Archer-Daniels-Midland Company;ADM;NULL;NULL;NULL;31/12/2018;76,41121408;;;;;;;;;;;;
Arista Networks, Inc.;ANET.K;US0404132054;Computer Communications Equipment;3576;31/12/2023;45,82727526;;;;;;;;;;;;
Arista Networks, Inc.;ANET.K;NULL;NULL;NULL;31/12/2022;56,5187048;;;;;;;;;;;;
Arista Networks, Inc.;ANET.K;NULL;NULL;NULL;31/12/2021;60,12863376;;;;;;;;;;;;
Arista Networks, Inc.;ANET.K;NULL;NULL;NULL;31/12/2020;60,90003757;;;;;;;;;;;;
Arista Networks, Inc.;ANET.K;NULL;NULL;NULL;31/12/2019;58,29499551;;;;;;;;;;;;
Arista Networks, Inc.;ANET.K;NULL;NULL;NULL;31/12/2018;43,6625778;;;;;;;;;;;;
AT&T Inc.;T;US00206R1023;Telephone Communications, Except Radiotelephone;4813;31/12/2023;83,19123886;;;;;;;;;;;;
AT&T Inc.;T;NULL;NULL;NULL;31/12/2022;81,77416453;;;;;;;;;;;;
AT&T Inc.;T;NULL;NULL;NULL;31/12/2021;72,01408141;;;;;;;;;;;;
AT&T Inc.;T;NULL;NULL;NULL;31/12/2020;73,77016673;;;;;;;;;;;;
AT&T Inc.;T;NULL;NULL;NULL;31/12/2019;68,47968527;;;;;;;;;;;;
AT&T Inc.;T;NULL;NULL;NULL;31/12/2018;65,29457898;;;;;;;;;;;;
Atmos Energy Corporation;ATO;US0495601058;Natural Gas Distribution;4924;31/12/2023;40,1038266;;;;;;;;;;;;
Atmos Energy Corporation;ATO;NULL;NULL;NULL;31/12/2022;44,46663817;;;;;;;;;;;;
Atmos Energy Corporation;ATO;NULL;NULL;NULL;31/12/2021;38,17169201;;;;;;;;;;;;
Atmos Energy Corporation;ATO;NULL;NULL;NULL;31/12/2020;36,6086134;;;;;;;;;;;;
Atmos Energy Corporation;ATO;NULL;NULL;NULL;31/12/2019;40,00310076;;;;;;;;;;;;
Atmos Energy Corporation;ATO;NULL;NULL;NULL;31/12/2018;30,40300098;;;;;;;;;;;;
Autodesk, Inc.;ADSK.O;US0527691069;Prepackaged Software;7372;31/12/2023;79,02268581;;;;;;;;;;;;
Autodesk, Inc.;ADSK.O;NULL;NULL;NULL;31/12/2022;79,59891525;;;;;;;;;;;;
Autodesk, Inc.;ADSK.O;NULL;NULL;NULL;31/12/2021;81,19104545;;;;;;;;;;;;
Autodesk, Inc.;ADSK.O;NULL;NULL;NULL;31/12/2020;81,80647519;;;;;;;;;;;;
Autodesk, Inc.;ADSK.O;NULL;NULL;NULL;31/12/2019;81,5743604;;;;;;;;;;;;
Autodesk, Inc.;ADSK.O;NULL;NULL;NULL;31/12/2018;82,96106717;;;;;;;;;;;;
Automatic Data Processing, Inc.;ADP.O;US0530151036;Computer Processing and Data Preparation and Processing Services;7374;31/12/2023;67,28942567;;;;;;;;;;;;
Automatic Data Processing, Inc.;ADP.O;NULL;NULL;NULL;31/12/2022;67,31326144;;;;;;;;;;;;
